paper_id,route_id,route_node_id,target_entity_id,target_material,route_role,material_provenance,process_summary,normalized_tags,precursors,solvents,polymer_components,additives,final_form,step_count,step_types,steps_json,confidence,title,doi,year,journal,source_json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,route_1,route:002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere:route_1,,Li2S-P2S5 glasses,electrolyte_synthesis,lab_synthesis,Mechanical milling of Li2S and P2S5 powders.,mechanical_milling; solid_state_reaction,Li2S; P2S5,,,,glass powder,1,ball_milling,"[""atmosphere"": ""dry Ar"", ""cooling_rate"": null, ""equipment"": ""planetary ball mill (Fritsch, Pulverisette 7)"", ""evidence"": [""A mixture of these materials was mechanically milled at room temperature by a planetary ball mill (Fritsch, Pulverisette 7) using a zirconia pot (volume: 45 ml) with 500 zirconia balls (diameter: 4 mm). The rotation speed was 510 rpm and the milling times were in the range 8-24 h.""], ""heating_rate"": null, ""notes"": ""510 rpm, zirconia pot, 500 zirconia balls (4 mm)"", ""pressure"": null, ""step_index"": 1, ""temperature"": ""room temperature"", ""time"": ""8-24 h"", ""type"": ""ball_milling""]",0.95,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,route_2,route:002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere:route_2,E1,75Li2S·25P2S5 glass-ceramic,electrolyte_synthesis,lab_synthesis,Heat treatment of 75Li2S·25P2S5 glass to induce crystallization.,annealing; crystallization; heat_treatment,75Li2S·25P2S5 glass,,,,glass-ceramic powder,1,annealing,"[""atmosphere"": ""Ar"", ""cooling_rate"": null, ""equipment"": null, ""evidence"": ["" 75Li_2S\\cdot25P_2S_5 glass-ceramic was prepared by heating the glass at 240 °C for 2 h.""], ""heating_rate"": null, ""notes"": null, ""pressure"": null, ""step_index"": 1, ""temperature"": ""240 °C"", ""time"": ""2 h"", ""type"": ""annealing""]",0.95,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired,route_1,route:002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired:route_1,,Li2S-P2S5 glasses,electrolyte_synthesis,lab_synthesis,Mechanical milling of Li2S and P2S5 powders.,mechanical_milling; solid_state_reaction,Li2S; P2S5,,,,glass powder,1,ball_milling,"[""atmosphere"": ""dry Ar"", ""cooling_rate"": null, ""equipment"": ""planetary ball mill (Fritsch, Pulverisette 7)"", ""evidence"": [""A mixture of these materials was mechanically milled at room temperature by a planetary ball mill (Fritsch, Pulverisette 7) using a zirconia pot (volume: 45 ml) with 500 zirconia balls (diameter: 4 mm). The rotation speed was 510 rpm and the milling times were in the range 8-24 h.""], ""heating_rate"": null, ""notes"": ""510 rpm, zirconia pot, 500 zirconia balls (4 mm)"", ""pressure"": null, ""step_index"": 1, ""temperature"": ""room temperature"", ""time"": ""8-24 h"", ""type"": ""ball_milling""]",0.95,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired/sse_extraction.json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired,route_2,route:002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired:route_2,E1,75Li2S·25P2S5 glass-ceramic,electrolyte_synthesis,lab_synthesis,Heat treatment of 75Li2S·25P2S5 glass to induce crystallization.,annealing; crystallization; heat_treatment,75Li2S·25P2S5 glass,,,,glass-ceramic powder,1,annealing,"[""atmosphere"": ""Ar"", ""cooling_rate"": null, ""equipment"": null, ""evidence"": ["" 75Li_2S\\cdot25P_2S_5 glass-ceramic was prepared by heating the glass at 240 °C for 2 h.""], ""heating_rate"": null, ""notes"": null, ""pressure"": null, ""step_index"": 1, ""temperature"": ""240 °C"", ""time"": ""2 h"", ""type"": ""annealing""]",0.95,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired/sse_extraction.json
003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte,route_1,route:003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte:route_1,E1,Li2S-P2S5 (80:20 mol%),electrolyte_synthesis,lab_synthesis,High energy ball milling of Li2S and P2S5 powders in 80:20 molar ratio.,mechanical_milling; solid_state_reaction,Li2S; P2S5,,,,powder,1,ball_milling,"[""atmosphere"": ""Ar"", ""cooling_rate"": null, ""equipment"": ""high energy ball mill"", ""evidence"": [""The solid state ion conductor, amorphous Li _2 S-P _2 S _5 (80:20 mol%) electrolyte was prepared by high energy ball milling in accordance to the previous paper [31]."", ""All the above processes were carried out in an Ar filled glove box.""], ""heating_rate"": null, ""notes"": ""80:20 mol% ratio, in accordance to previous paper [31]"", ""pressure"": null, ""step_index"": 1, ""temperature"": null, ""time"": null, ""type"": ""ball_milling""]",0.95,A rocking chair type all-solid-state lithium ion battery adopting Li_2O-ZrO_2 coated LiNi_0.8Co_0.15Al_0.05O_2 and a sulfide based electrolyte,,2013,,信息提取结果/003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte/sse_extraction.json
003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte,route_2,route:003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte:route_2,,LZO coated NCA,coating_or_interface,lab_synthesis,Sol-gel coating of Li2O-ZrO2 on NCA particles followed by heat treatment.,annealing; coating; heat_treatment; sol-gel,NCA; 2-propanol; lithium methoxide; zirconium(IV) tetrapropoxide,2-propanol,,,powder,4,drying; filtration; heat_treatment; mixing,"[""atmosphere"": null, ""cooling_rate"": null, ""equipment"": null, ""evidence"": [""NCA ( D_50=ca.5\\mu m ) was dispersed into above solution and stirred 1 h""], ""heating_rate"": null, ""notes"": ""NCA dispersed in sol, stirred 1 h"", ""pressure"": null, ""step_index"": 1, ""temperature"": null, ""time"": ""1 h"", ""type"": ""mixing"", ""atmosphere"": null, ""cooling_rate"": null, ""equipment"": ""water bath, ultrasonic wave irradiation"", ""evidence"": [""the propanol evaporated under vacuum at 50 °C (water bath) while undergoing ultrasonic wave irradiation""], ""heating_rate"": null, ""notes"": ""propanol evaporated under vacuum at 50 °C"", ""pressure"": ""vacuum"", ""step_index"": 2, ""temperature"": ""50 °C"", ""time"": null, ""type"": ""drying"", ""atmosphere"": null, ""cooling_rate"": null, ""equipment"": null, ""evidence"": [""After filtration""], ""heating_rate"": null, ""notes"": null, ""pressure"": null, ""step_index"": 3, ""temperature"": null, ""time"": null, ""type"": ""filtration"", ""atmosphere"": ""air"", ""cooling_rate"": null, ""equipment"": null, ""evidence"": [""the precursor was heated at 350 °C for 1 h under air, and the LZO coated NCA was prepared.""], ""heating_rate"": null, ""notes"": ""precursor heated at 350 °C for 1 h under air"", ""pressure"": null, ""step_index"": 4, ""temperature"": ""350 °C"", ""time"": ""1 h"", ""type"": ""heat_treatment""]",0.95,A rocking chair type all-solid-state lithium ion battery adopting Li_2O-ZrO_2 coated LiNi_0.8Co_0.15Al_0.05O_2 and a sulfide based electrolyte,,2013,,信息提取结果/003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte/sse_extraction.json
003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte,route_3,route:003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte:route_3,,Pelletized Test Cell,cell_assembly,lab_synthesis,"Layer-by-layer pressing of electrolyte, cathode composite, and anode composite in a die.",cold_pressing; layer_by_layer,Li2S-P2S5 electrolyte powder; Cathode composite; Anode composite,,,,pellet,1,pressing,"[""atmosphere"": ""Ar"", ""cooling_rate"": null, ""equipment"": ""hydraulic press, 13 mm die"", ""evidence"": [""All the cell components were compressed together and completely pelletized by using a hydraulic press (at 25 °C, 4 ton for 30 s were applied to the 13 mm die).""], ""heating_rate"": null, ""notes"": ""All cell components compressed together"", ""pressure"": ""4 ton"", ""step_index"": 1, ""temperature"": ""25 °C"", ""time"": ""30 s"", ""type"": ""pressing""]",0.95,A rocking chair type all-solid-state lithium ion battery adopting Li_2O-ZrO_2 coated LiNi_0.8Co_0.15Al_0.05O_2 and a sulfide based electrolyte,,2013,,信息提取结果/003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte/sse_extraction.json
003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte,route_4,route:003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte:route_4,,Practical Size Cell,cell_assembly,lab_synthesis,"Wet coating of cathode slurry on Al foil, PVdF-based anode on Ni foil, direct coating of electrolyte slurry on anode, then stacking.",coating; cold_pressing; slurry_casting; stacking; wet_coating,LZO coated NCA; Li2S-P2S5 electrolyte; CNT conductive carbon; NBR binder; Artificial graphite; PVdF binder,xylene; NMP,nitrile butadiene rubber; PVdF; hydrocarbon polymer binder,,stacked cell,4,coating; stacking,"[""atmosphere"": ""vacuum"", ""cooling_rate"": null, ""equipment"": ""doctor blade, vacuum oven"", ""evidence"": [""The slurry was used to coat carbon coated aluminum foil. After evaporation of the xylene, the electrodes were cut into predetermined shapes, and dried at 60 °C in a vacuum oven for 8 h.""], ""heating_rate"": null, ""notes"": ""Cathode slurry coated on Al foil, dried at 60 °C for 8 h"", ""pressure"": null, ""step_index"": 1, ""temperature"": ""60 °C"", ""time"": ""8 h"", ""type"": ""coating"", ""atmosphere"": ""vacuum"", ""cooling_rate"": null, ""equipment"": ""doctor blade"", ""evidence"": [""The electrode was dried at 60 °C for 1 h, and then dried at 80 °C under a vacuum below 0.1 torr for 18 h.""], ""heating_rate"": null, ""notes"": ""Anode slurry coated on Ni foil, dried at 60 °C for 1 h, then 80 °C under vacuum for 18 h"", ""pressure"": null, ""step_index"": 2, ""temperature"": ""80 °C"", ""time"": ""18 h"", ""type"": ""coating"", ""atmosphere"": null, ""cooling_rate"": null, ""equipment"": null, ""evidence"": [""The solid electrolyte slurry ( Li_2S-P_2S_5 (80:20 mol%) dispersed in 2 wt% of hydrocarbon binder dissolved xylene solution) was coated on the anode.""], ""heating_rate"": null, ""notes"": ""Solid electrolyte slurry coated on anode surface"", ""pressure"": null, ""step_index"": 3, ""temperature"": null, ""time"": null, ""type"": ""coating"", ""atmosphere"": null, ""cooling_rate"": null, ""equipment"": null, ""evidence"": [""After drying, the anode-electrolyte assembly and the cathode were placed on the opposite sides of an electrolyte layer to form a cell. The cell was then compressed together.""], ""heating_rate"": null, ""notes"": ""Anode-electrolyte assembly and cathode placed on opposite sides, compressed together"", ""pressure"": null, ""step_index"": 4, ""temperature"": null, ""time"": null, ""type"": ""stacking""]",0.95,A rocking chair type all-solid-state lithium ion battery adopting Li_2O-ZrO_2 coated LiNi_0.8Co_0.15Al_0.05O_2 and a sulfide based electrolyte,,2013,,信息提取结果/003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte/sse_extraction.json
003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte.repaired,route_1,route:003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte.repaired:route_1,E1,Amorphous Li2S-P2S5 (80:20 mol%),electrolyte_synthesis,lab_synthesis,High energy ball milling of Li2S and P2S5 powders in 80:20 molar ratio.,mechanical_milling; solid_state_reaction,Li2S; P2S5,,,,powder,1,ball_milling,"[""atmosphere"": ""Ar"", ""cooling_rate"": null, ""equipment"": ""high energy ball mill"", ""evidence"": [""The solid state ion conductor, amorphous Li _2 S-P _2 S _5 (80:20 mol%) electrolyte was prepared by high energy ball milling in accordance to the previous paper [31]."", ""All the above processes were carried out in an Ar filled glove box.""], ""heating_rate"": null, ""notes"": ""80:20 mol% ratio, in accordance to previous paper [31]"", ""pressure"": null, ""step_index"": 1, ""temperature"": null, ""time"": null, ""type"": ""ball_milling""]",0.9,A rocking chair type all-solid-state lithium ion battery adopting Li_2O-ZrO_2 coated LiNi_0.8Co_0.15Al_0.05O_2 and a sulfide based electrolyte,,2013,,信息提取结果/003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte.repaired/sse_extraction.json
003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte.repaired,route_2,route:003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte.repaired:route_2,,LZO-coated NCA,coating_or_interface,lab_synthesis,Sol-gel coating of Li2O-ZrO2 on NCA particles followed by heat treatment.,annealing; coating; heat_treatment; sol-gel,NCA; 2-propanol; Lithium methoxide; Zirconium(IV) tetrapropoxide,2-propanol,,,powder,4,drying; filtration; heat_treatment; mixing,"[""atmosphere"": null, ""cooling_rate"": null, ""equipment"": null, ""evidence"": [""NCA ( D_50=ca.5\\mu m ) was dispersed into above solution and stirred 1 h""], ""heating_rate"": null, ""notes"": ""NCA dispersed in LZO coating sol, stirred 1 h"", ""pressure"": null, ""step_index"": 1, ""temperature"": null, ""time"": ""1 h"", ""type"": ""mixing"", ""atmosphere"": null, ""cooling_rate"": null, ""equipment"": ""water bath, ultrasonic wave irradiation"", ""evidence"": [""the propanol evaporated under vacuum at 50 °C (water bath) while undergoing ultrasonic wave irradiation""], ""heating_rate"": null, ""notes"": ""Propanol evaporated under vacuum at 50 °C while undergoing ultrasonic wave irradiation"", ""pressure"": ""vacuum"", ""step_index"": 2, ""temperature"": ""50 °C"", ""time"": null, ""type"": ""drying"", ""atmosphere"": null, ""cooling_rate"": null, ""equipment"": null, ""evidence"": [""After filtration""], ""heating_rate"": null, ""notes"": null, ""pressure"": null, ""step_index"": 3, ""temperature"": null, ""time"": null, ""type"": ""filtration"", ""atmosphere"": ""air"", ""cooling_rate"": null, ""equipment"": null, ""evidence"": [""the precursor was heated at 350 °C for 1 h under air, and the LZO coated NCA was prepared.""], ""heating_rate"": null, ""notes"": ""Precursor heated to form LZO coated NCA"", ""pressure"": null, ""step_index"": 4, ""temperature"": ""350 °C"", ""time"": ""1 h"", ""type"": ""heat_treatment""]",0.95,A rocking chair type all-solid-state lithium ion battery adopting Li_2O-ZrO_2 coated LiNi_0.8Co_0.15Al_0.05O_2 and a sulfide based electrolyte,,2013,,信息提取结果/003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte.repaired/sse_extraction.json
